date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:50	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268c9de78-239b%22	https://themewagon.github.io/robots.txt		(from )
20:38:50	54188/54188	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-d3ac%22	https://themewagon.github.io/Charitize/	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/index.html	(from )
20:38:50	16098/16098	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2268c66dc8-3ee2%22	https://themewagon.github.io/Charitize/img/favicon.ico	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/favicon.ico	(from https://themewagon.github.io/Charitize/)
20:39:31	63666/63666	U-----	200	untouched ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/charitize/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/Charitize/)
20:39:34	2936/2936	U-----	200	untouched ('OK')	text/css	etag:W/%2268c66dc8-b78%22	https://themewagon.github.io/Charitize/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/Charitize/)
20:39:34	16953/16953	U-----	200	untouched ('OK')	text/css	etag:W/%2268c66dc8-4239%22	https://themewagon.github.io/Charitize/lib/animate/animate.min.css	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/lib/animate/animate.min.css	(from https://themewagon.github.io/Charitize/)
20:40:17	168979/168979	U-----	200	untouched ('OK')	text/css	etag:W/%2268c66dc8-29413%22	https://themewagon.github.io/Charitize/css/bootstrap.min.css	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/css/bootstrap.min.css	(from https://themewagon.github.io/Charitize/)
20:40:19	11207/11207	U-----	200	untouched ('OK')	text/css	etag:W/%2268c66dc8-2bc7%22	https://themewagon.github.io/Charitize/css/style.css	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/css/style.css	(from https://themewagon.github.io/Charitize/)
20:40:19	54188/54188	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-d3ac%22	https://themewagon.github.io/Charitize/index.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/index-2.html	(from https://themewagon.github.io/Charitize/)
20:40:32	74185/74185	U-----	200	untouched ('OK')	text/css	etag:%22687fca57-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/7.0.0/css/all.min.css	C:/My%20Web%20Sites/charitize/cdnjs.cloudflare.com/ajax/libs/font-awesome/7.0.0/css/all.min.css	(from https://themewagon.github.io/Charitize/)
20:41:03	26791/26791	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-68a7%22	https://themewagon.github.io/Charitize/about.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/about.html	(from https://themewagon.github.io/Charitize/)
20:41:06	31681/31681	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-7bc1%22	https://themewagon.github.io/Charitize/service.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/service.html	(from https://themewagon.github.io/Charitize/)
20:41:06	30429/30429	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-76dd%22	https://themewagon.github.io/Charitize/donation.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/donation.html	(from https://themewagon.github.io/Charitize/)
20:41:07	22699/22699	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-58ab%22	https://themewagon.github.io/Charitize/event.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/event.html	(from https://themewagon.github.io/Charitize/)
20:41:07	20472/20472	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-4ff8%22	https://themewagon.github.io/Charitize/feature.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/feature.html	(from https://themewagon.github.io/Charitize/)
20:41:51	18712/18712	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-4918%22	https://themewagon.github.io/Charitize/contact.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/contact.html	(from https://themewagon.github.io/Charitize/)
20:41:53	22339/22339	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-5743%22	https://themewagon.github.io/Charitize/team.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/team.html	(from https://themewagon.github.io/Charitize/)
20:41:53	16098/16098	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-3ee2%22	https://themewagon.github.io/Charitize/404.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/404.html	(from https://themewagon.github.io/Charitize/)
20:41:53	23989/23989	U-----	200	untouched ('OK')	text/html	etag:W/%2268c66dc8-5db5%22	https://themewagon.github.io/Charitize/testimonial.html	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/testimonial.html	(from https://themewagon.github.io/Charitize/)
20:42:51	225380/225380	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-37064%22	https://themewagon.github.io/Charitize/img/about.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/about.jpg	(from https://themewagon.github.io/Charitize/)
20:42:51	40940/40940	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-9fec%22	https://themewagon.github.io/Charitize/img/donation-1.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/donation-1.jpg	(from https://themewagon.github.io/Charitize/)
20:42:52	102689/102689	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-19121%22	https://themewagon.github.io/Charitize/img/carousel-2.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/carousel-2.jpg	(from https://themewagon.github.io/Charitize/)
20:42:52	83932/83932	U-----	200	untouched ('')	image/jpeg	etag:%2268c66dc8-147dc%22	https://themewagon.github.io/Charitize/img/carousel-1.jpg	C:/My%20Web%20Sites/charitize/themewagon.github.io/Charitize/img/carousel-1.jpg	(from https://themewagon.github.io/Charitize/)
